Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse,Unikt navn
1082,Midtjylland,741,Samsø Kommune,200151,"Agerup By, Besser","Agerup By, Besser"
1085,Sjælland,370,Næstved Kommune,240851,"Agerup By, Hyllinge","Agerup By, Hyllinge"
1084,Hovedstaden,151,Ballerup Kommune,22151,"Ågerup By, Pederstrup","Ågerup By, Pederstrup"
1084,Hovedstaden,270,Gribskov Kommune,110951,"Ågerup By, Ramløse","Ågerup By, Ramløse"
1085,Sjælland,326,Kalundborg Kommune,180551,"Ågerup By, Røsnæs","Ågerup By, Røsnæs"
1085,Sjælland,329,Ringsted Kommune,212051,"Ågerup By, Vigersted","Ågerup By, Vigersted"
1085,Sjælland,326,Kalundborg Kommune,190652,"Ågerup Mølle, Gørlev","Ågerup Mølle, Gørlev"
1085,Sjælland,316,Holbæk Kommune,151052,"Agerup, Soderup","Agerup, Soderup"
1085,Sjælland,376,Guldborgsund Kommune,471851,"Agerupgård, Våbensted","Agerupgård, Våbensted"
1083,Syddanmark,573,Varde Kommune,1351051,"Agervig, Næsbjerg","Agervig, Næsbjerg"
1084,Hovedstaden,270,Gribskov Kommune,110551,"Aggebo Skovhuse, Græsted","Aggebo Skovhuse, Græsted"
1084,Hovedstaden,270,Gribskov Kommune,111251,"Aggebo, Valby","Aggebo, Valby"
1081,Nordjylland,787,Thisted Kommune,720154,"Agger By, Agger","Agger By, Agger"
1081,Nordjylland,820,Vesthimmerlands Kommune,580151,"Aggersborg By, Aggersborg","Aggersborg By, Aggersborg"
1081,Nordjylland,820,Vesthimmerlands Kommune,580152,"Aggersund By, Aggersborg","Aggersund By, Aggersborg"
1085,Sjælland,336,Stevns Kommune,310251,"Aggerup By, Endeslev","Aggerup By, Endeslev"
1085,Sjælland,350,Lejre Kommune,60651,"Aggerup Jorder, Kisserup","Aggerup Jorder, Kisserup"
1082,Midtjylland,615,Horsens Kommune,1070151,"Aggestrup By, Gangsted","Aggestrup By, Gangsted"
1082,Midtjylland,706,Syddjurs Kommune,960151,"Agri By, Agri","Agri By, Agri"
1083,Syddanmark,621,Kolding Kommune,1310251,"Agtrup By, Sdr. Bjert","Agtrup By, Sdr. Bjert"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1210151,"Ahler Gde., Sdr. Borris","Ahler Gde., Sdr. Borris"
1082,Midtjylland,710,Favrskov Kommune,790151,"Aidt By, Aidt","Aidt By, Aidt"
1083,Syddanmark,561,Esbjerg Kommune,1290451,"Ajke By, Gørding","Ajke By, Gørding"
1081,Nordjylland,851,Aalborg Kommune,600251,"Ajstrup By, Ajstrup","Ajstrup By, Ajstrup"
1081,Nordjylland,846,Mariagerfjord Kommune,881052,"Ajstrup By, Vindblæs","Ajstrup By, Vindblæs"
1082,Midtjylland,791,Viborg Kommune,820551,"Åkær By, Fly","Åkær By, Fly"
1081,Nordjylland,787,Thisted Kommune,710551,"Åkær Enge, Hvidbjerg","Åkær Enge, Hvidbjerg"
1082,Midtjylland,727,Odder Kommune,1000351,"Åkær Hgd., Falling","Åkær Hgd., Falling"
1083,Syddanmark,420,Assens Kommune,390651,"Akkerup By, Haarby","Akkerup By, Haarby"
1085,Sjælland,316,Holbæk Kommune,170551,"Akselholm Gde., Holmstrup","Akselholm Gde., Holmstrup"
1081,Nordjylland,846,Mariagerfjord Kommune,640258,"Akselterp By, Astrup","Akselterp By, Astrup"
1082,Midtjylland,661,Holstebro Kommune,1240851,"Ål By, Sahl","Ål By, Sahl"
1083,Syddanmark,573,Varde Kommune,1340151,"Ål Enge, Ål","Ål Enge, Ål"
1082,Midtjylland,730,Randers Kommune,920151,"Albæk By, Albæk","Albæk By, Albæk"
1082,Midtjylland,779,Skive Kommune,860551,"Ålbæk By, Lihme","Ålbæk By, Lihme"
